NCBI gene (formerly Entrezgene) ID,Gene name,Gene description,Gene stable ID
480285,HEATR5A,HEAT repeat containing 5A [Source:UniProtKB Gene Name;Acc:A0A8I3NK89],ENSCAFG00845011579
,,,ENSCAFG00845011580
485377,TUB,TUB bipartite transcription factor [Source:UniProtKB Gene Name;Acc:A0A8P0SUZ3],ENSCAFG00845011581
475581,TACC1,transforming acidic coiled-coil containing protein 1 [Source:UniProtKB Gene Name;Acc:A0A8I3RYM6],ENSCAFG00845011582
476548,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1 [Source:UniProtKB Gene Name;Acc:A0A8P0PJN8]",ENSCAFG00845011583
611798,DPF3,double PHD fingers 3 [Source:UniProtKB Gene Name;Acc:A0A8I3NFT7],ENSCAFG00845011584
484162,NMRK1,nicotinamide riboside kinase 1 [Source:UniProtKB Gene Name;Acc:A0A8I3NJ99],ENSCAFG00845011585
119878677,NMRK1,nicotinamide riboside kinase 1 [Source:UniProtKB Gene Name;Acc:A0A8I3NJ99],ENSCAFG00845011585
482809,GALNT11,polypeptide N-acetylgalactosaminyltransferase 11 [Source:UniProtKB Gene Name;Acc:A0A8I3NK66],ENSCAFG00845011586
,,,ENSCAFG00845011587
609350,TMIE,transmembrane inner ear [Source:UniProtKB Gene Name;Acc:A0A8I3NV26],ENSCAFG00845011588
480067,KLHL20,kelch like family member 20 [Source:UniProtKB Gene Name;Acc:A0A8C0LZH2],ENSCAFG00845011589
476841,STK33,serine/threonine kinase 33 [Source:UniProtKB Gene Name;Acc:A0A8C0N0R3],ENSCAFG00845011590
489305,HEPACAM,hepatic and glial cell adhesion molecule [Source:UniProtKB Gene Name;Acc:A0A8I3N8M6],ENSCAFG00845011591
100685191,SHISA9,shisa family member 9 [Source:UniProtKB Gene Name;Acc:A0A8I3NFV7],ENSCAFG00845011592
100683958,,,ENSCAFG00845011593
610702,SPACA3,sperm acrosome associated 3 [Source:NCBI gene (formerly Entrezgene);Acc:610702],ENSCAFG00845011594
,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845011595
,,,ENSCAFG00845011596
607731,P3H4,prolyl 3-hydroxylase family member 4 (inactive) [Source:VGNC Symbol;Acc:VGNC:111614],ENSCAFG00845011597
611862,RHOD,ras homolog family member D [Source:UniProtKB Gene Name;Acc:A0A8I3RYM8],ENSCAFG00845011598
475416,SLC6A15,solute carrier family 6 member 15 [Source:UniProtKB Gene Name;Acc:A0A8I3RWL8],ENSCAFG00845011599
474919,HSP90AB1,heat shock protein 90 alpha family class B member 1 [Source:UniProtKB Gene Name;Acc:A0A8I3N9V3],ENSCAFG00845011600
,,,ENSCAFG00845011601
610530,SNX18,sorting nexin 18 [Source:UniProtKB Gene Name;Acc:A0A8I3NFU7],ENSCAFG00845011602
483021,ALK,ALK receptor tyrosine kinase [Source:UniProtKB Gene Name;Acc:A0A8I3NE96],ENSCAFG00845011603
100687661,OR8G3,olfactory receptor family 8 subfamily G member 3 [Source:NCBI gene (formerly Entrezgene);Acc:100687661],ENSCAFG00845011604
119874066,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845011605
487083,,,ENSCAFG00845011606
475171,SLC4A4,solute carrier family 4 member 4 [Source:UniProtKB Gene Name;Acc:A0A8I3NFW6],ENSCAFG00845011607
,,,ENSCAFG00845011608
,,,ENSCAFG00845011609
104794998,MIR8862,microRNA mir-8862 [Source:NCBI gene (formerly Entrezgene);Acc:104794998],ENSCAFG00845011610
485463,VWA8,von Willebrand factor A domain containing 8 [Source:UniProtKB Gene Name;Acc:A0A8I3NJI7],ENSCAFG00845011611
,,,ENSCAFG00845011612
,,,ENSCAFG00845011613
,,,ENSCAFG00845011614
,,,ENSCAFG00845011615
,,,ENSCAFG00845011616
,,,ENSCAFG00845011617
,,,ENSCAFG00845011618
487352,ARID1A,AT-rich interaction domain 1A [Source:UniProtKB Gene Name;Acc:A0A8C0PZ65],ENSCAFG00845011619
,,,ENSCAFG00845011620
,,,ENSCAFG00845011621
,,,ENSCAFG00845011622
,,,ENSCAFG00845011623
481657,KLF4,KLF transcription factor 4 [Source:UniProtKB Gene Name;Acc:A0A8I3N9X4],ENSCAFG00845011624
,,,ENSCAFG00845011625
100313495,GDF9,growth differentiation factor 9 [Source:NCBI gene (formerly Entrezgene);Acc:100313495],ENSCAFG00845011626
119873400,PVALEF,parvalbumin like EF-hand containing [Source:UniProtKB Gene Name;Acc:A0A8C0MUY2],ENSCAFG00845011627
491341,CRB2,crumbs cell polarity complex component 2 [Source:VGNC Symbol;Acc:VGNC:111418],ENSCAFG00845011628
483669,KCNQ1,potassium voltage-gated channel subfamily Q member 1 [Source:UniProtKB Gene Name;Acc:A0A8C0RTZ1],ENSCAFG00845011629
475831,,,ENSCAFG00845011630
,,,ENSCAFG00845011631
611358,CMTM4,CKLF like MARVEL transmembrane domain containing 4 [Source:UniProtKB Gene Name;Acc:A0A8C0T7U9],ENSCAFG00845011632
,,,ENSCAFG00845011633
608293,ZMIZ2,zinc finger MIZ-type containing 2 [Source:UniProtKB Gene Name;Acc:A0A8I3NIK4],ENSCAFG00845011634
,,,ENSCAFG00845011635
104794991,MIR8852,microRNA mir-8852 [Source:NCBI gene (formerly Entrezgene);Acc:104794991],ENSCAFG00845011636
485024,,,ENSCAFG00845011637
474845,ABHD16A,"abhydrolase domain containing 16A, phospholipase [Source:UniProtKB Gene Name;Acc:A0A8I3NK21]",ENSCAFG00845011638
484786,ALS2CL,ALS2 C-terminal like [Source:UniProtKB Gene Name;Acc:A0A8I3RYQ3],ENSCAFG00845011639
,,,ENSCAFG00845011640
612799,CERT1,ceramide transporter 1 [Source:UniProtKB Gene Name;Acc:A0A8C0MUS1],ENSCAFG00845011641
476823,RRM1,ribonucleotide reductase catalytic subunit M1 [Source:UniProtKB Gene Name;Acc:A0A8C0RNZ0],ENSCAFG00845011642
483703,SYT12,synaptotagmin 12 [Source:UniProtKB Gene Name;Acc:A0A8I3NA17],ENSCAFG00845011643
102151657,OR8G6,olfactory receptor family 8 subfamily G member 6 [Source:NCBI gene (formerly Entrezgene);Acc:102151657],ENSCAFG00845011644
,,,ENSCAFG00845011645
608562,VOPP1,VOPP1 WW domain binding protein [Source:UniProtKB Gene Name;Acc:A0A8C0QGH3],ENSCAFG00845011646
482102,LRRC14,leucine rich repeat containing 14 [Source:UniProtKB Gene Name;Acc:A0A8P0N4T2],ENSCAFG00845011647
487234,CD180,CD180 molecule [Source:UniProtKB Gene Name;Acc:A0A8C0PXU0],ENSCAFG00845011648
489306,ROBO4,roundabout guidance receptor 4 [Source:UniProtKB Gene Name;Acc:A0A8I3NKF3],ENSCAFG00845011649
119872778,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845011650
,,,ENSCAFG00845011651
481819,SLC35B2,solute carrier family 35 member B2 [Source:NCBI gene (formerly Entrezgene);Acc:481819],ENSCAFG00845011652
491182,CORO6,coronin 6 [Source:UniProtKB Gene Name;Acc:A0A8I3NVA7],ENSCAFG00845011653
,,,ENSCAFG00845011654
,,,ENSCAFG00845011655
481692,PAPPA,pappalysin 1 [Source:UniProtKB Gene Name;Acc:A0A8I3NLM1],ENSCAFG00845011656
,,,ENSCAFG00845011657
100683980,GTPBP10,GTP binding protein 10 [Source:UniProtKB Gene Name;Acc:A0A8P0N4Z4],ENSCAFG00845011658
,,,ENSCAFG00845011659
481852,HMGCLL1,3-hydroxy-3-methylglutaryl-CoA lyase like 1 [Source:UniProtKB Gene Name;Acc:A0A8I3RYS5],ENSCAFG00845011660
403974,IL1B,interleukin 1 beta [Source:NCBI gene (formerly Entrezgene);Acc:403974],ENSCAFG00845011661
,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845011662
489332,OR10D3,olfactory receptor family 10 subfamily D member 3 [Source:UniProtKB Gene Name;Acc:A0A8I3RYN7],ENSCAFG00845011663
489745,ESRP2,epithelial splicing regulatory protein 2 [Source:UniProtKB Gene Name;Acc:A0A8C0NL26],ENSCAFG00845011664
,,,ENSCAFG00845011665
612961,TMEM98,transmembrane protein 98 [Source:UniProtKB Gene Name;Acc:A0A8C0SC13],ENSCAFG00845011666
481292,ABTB3,ankyrin repeat and BTB domain containing 3 [Source:UniProtKB Gene Name;Acc:A0A8P0N4W1],ENSCAFG00845011667
481777,BTBD9,BTB domain containing 9 [Source:UniProtKB Gene Name;Acc:A0A8I3N939],ENSCAFG00845011668
,,,ENSCAFG00845011669
475143,LNX1,ligand of numb-protein X 1 [Source:UniProtKB Gene Name;Acc:A0A8I3NKG6],ENSCAFG00845011670
481658,ACTL7B,actin like 7B [Source:UniProtKB Gene Name;Acc:A0A8I3RYN9],ENSCAFG00845011671
,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845011672
,,,ENSCAFG00845011673
,,,ENSCAFG00845011674
,,,ENSCAFG00845011675
,,,ENSCAFG00845011676
609744,UQCRQ,ubiquinol-cytochrome c reductase complex III subunit VII [Source:UniProtKB Gene Name;Acc:A0A8I3NJC6],ENSCAFG00845011677
489333,OR10AI1,olfactory receptor family 10 subfamily AI member 1 [Source:NCBI gene (formerly Entrezgene);Acc:489333],ENSCAFG00845011678
607789,HPCAL4,hippocalcin like 4 [Source:UniProtKB Gene Name;Acc:A0A8I3NA27],ENSCAFG00845011679
485069,GADD45B,growth arrest and DNA damage inducible beta [Source:UniProtKB Gene Name;Acc:A0A8C0MSN2],ENSCAFG00845011680
104796230,MIR8853,microRNA mir-8853 [Source:NCBI gene (formerly Entrezgene);Acc:104796230],ENSCAFG00845011681
,,,ENSCAFG00845011682
485379,TRIM66,tripartite motif containing 66 [Source:UniProtKB Gene Name;Acc:A0A8I3RWQ2],ENSCAFG00845011683
474795,ACTL7A,actin like 7A [Source:UniProtKB Gene Name;Acc:A0A8I3NA41],ENSCAFG00845011684
481902,PRSS35,serine protease 35 [Source:UniProtKB Gene Name;Acc:A0A8P0SSK0],ENSCAFG00845011685
,,,ENSCAFG00845011686
487081,BAMBI,BMP and activin membrane bound inhibitor [Source:UniProtKB Gene Name;Acc:A0A8C0PSW4],ENSCAFG00845011687
475453,ANAPC10,anaphase promoting complex subunit 10 [Source:UniProtKB Gene Name;Acc:A0A8I3RWP5],ENSCAFG00845011688
609936,LRRC24,leucine rich repeat containing 24 [Source:UniProtKB Gene Name;Acc:A0A8P0NRS5],ENSCAFG00845011689
485218,OR55B1,olfactory receptor family 55 subfamily B member 1 [Source:NCBI gene (formerly Entrezgene);Acc:485218],ENSCAFG00845011690
403462,FCGR1A,Fc fragment of IgG receptor Ia [Source:NCBI gene (formerly Entrezgene);Acc:403462],ENSCAFG00845011691
,,,ENSCAFG00845011692
,,,ENSCAFG00845011693
,,,ENSCAFG00845011694
479844,CPPED1,calcineurin like phosphoesterase domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A8I3NKK7],ENSCAFG00845011695
609750,LEAP2,liver enriched antimicrobial peptide 2 [Source:UniProtKB Gene Name;Acc:A0A8I3NJP0],ENSCAFG00845011696
,,,ENSCAFG00845011697
,,,ENSCAFG00845011698
482463,NT5C1A,"5'-nucleotidase, cytosolic IA [Source:UniProtKB Gene Name;Acc:A0A8I3NKL7]",ENSCAFG00845011699
486102,PTK2B,protein tyrosine kinase 2 beta [Source:UniProtKB Gene Name;Acc:A0A8C0PBZ5],ENSCAFG00845011700
100856479,C11orf86,chromosome 11 open reading frame 86 [Source:HGNC Symbol;Acc:HGNC:34442],ENSCAFG00845011701
119865084,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845011702
,,,ENSCAFG00845011703
,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845011704
,TAC4,tachykinin 4 [Source:UniProtKB Gene Name;Acc:A0A8C0S672],ENSCAFG00845011705
102155642,NFKBIE,NFKB inhibitor epsilon [Source:UniProtKB Gene Name;Acc:A0A8C0MM82],ENSCAFG00845011706
476320,CARNMT1,carnosine N-methyltransferase 1 [Source:UniProtKB Gene Name;Acc:A0A8C0LSZ1],ENSCAFG00845011707
100686160,CMTM3,CKLF like MARVEL transmembrane domain containing 3 [Source:UniProtKB Gene Name;Acc:A0A8I3NKQ2],ENSCAFG00845011708
474602,CFAP36,cilia and flagella associated protein 36 [Source:UniProtKB Gene Name;Acc:A0A8C0TPC3],ENSCAFG00845011709
100685354,TSPAN19,tetraspanin 19 [Source:UniProtKB Gene Name;Acc:A0A8I3NKP2],ENSCAFG00845011710
100686619,,,ENSCAFG00845011711
100856618,CHIC2,cysteine rich hydrophobic domain 2 [Source:UniProtKB Gene Name;Acc:A0A8C0SR53],ENSCAFG00845011712
608397,CLDN12,claudin 12 [Source:UniProtKB Gene Name;Acc:A0A8C0SVI6],ENSCAFG00845011713
482811,CCT8L2,chaperonin containing TCP1 subunit 8 like 2 [Source:UniProtKB Gene Name;Acc:A0A8I3NA78],ENSCAFG00845011714
,,,ENSCAFG00845011715
476732,ACSBG2,acyl-CoA synthetase bubblegum family member 2 [Source:UniProtKB Gene Name;Acc:A0A8I3NJJ8],ENSCAFG00845011716
487235,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1 [Source:UniProtKB Gene Name;Acc:A0A8C0PYF3],ENSCAFG00845011717
,,,ENSCAFG00845011718
480522,JUP,junction plakoglobin [Source:NCBI gene (formerly Entrezgene);Acc:480522],ENSCAFG00845011719
106558632,,,ENSCAFG00845011720
475714,YPEL5,yippee like 5 [Source:UniProtKB Gene Name;Acc:A0A8I3NEH5],ENSCAFG00845011721
474678,AFF4,ALF transcription elongation factor 4 [Source:UniProtKB Gene Name;Acc:A0A8I3NGB0],ENSCAFG00845011722
607804,HEYL,hes related family bHLH transcription factor with YRPW motif like [Source:UniProtKB Gene Name;Acc:A0A8C0RPI4],ENSCAFG00845011723
608611,C9orf40,chromosome 9 open reading frame 40 [Source:HGNC Symbol;Acc:HGNC:23433],ENSCAFG00845011724
,,,ENSCAFG00845011725
100685374,DSC3,desmocollin 3 [Source:UniProtKB Gene Name;Acc:A0A8C0YY86],ENSCAFG00845011726
609214,DLX4,distal-less homeobox 4 [Source:UniProtKB Gene Name;Acc:A0A8C0LTR3],ENSCAFG00845011727
612455,ELP1,elongator acetyltransferase complex subunit 1 [Source:UniProtKB Gene Name;Acc:A0A8C0NJ37],ENSCAFG00845011728
475548,XRCC2,X-ray repair cross complementing 2 [Source:UniProtKB Gene Name;Acc:A0A8C0PCM4],ENSCAFG00845011729
489097,UNC5A,unc-5 netrin receptor A [Source:UniProtKB Gene Name;Acc:A0A8C0MA90],ENSCAFG00845011730
611050,SLC25A26,solute carrier family 25 member 26 [Source:UniProtKB Gene Name;Acc:A0A8C0SF48],ENSCAFG00845011731
,,,ENSCAFG00845011732
475094,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9 [Source:UniProtKB Gene Name;Acc:A0A8C0MSJ4],ENSCAFG00845011733
476785,CCDC90B,coiled-coil domain containing 90B [Source:UniProtKB Gene Name;Acc:A0A8I3NAC2],ENSCAFG00845011734
403883,ERBB2,erb-b2 receptor tyrosine kinase 2 [Source:VGNC Symbol;Acc:VGNC:40436],ENSCAFG00845011735
,ROBO3,roundabout guidance receptor 3 [Source:UniProtKB Gene Name;Acc:A0A8P0NZN6],ENSCAFG00845011736
489335,VWA5A,von Willebrand factor A domain containing 5A [Source:UniProtKB Gene Name;Acc:A0A8I3NGH7],ENSCAFG00845011737
483704,PC,pyruvate carboxylase [Source:UniProtKB Gene Name;Acc:A0A8P0SH02],ENSCAFG00845011738
490767,DCAF4,DDB1 and CUL4 associated factor 4 [Source:UniProtKB Gene Name;Acc:A0A8C0S050],ENSCAFG00845011739
480128,ASH1L,ASH1 like histone lysine methyltransferase [Source:UniProtKB Gene Name;Acc:A0A8C0PR12],ENSCAFG00845011740
481820,TMEM151B,transmembrane protein 151B [Source:UniProtKB Gene Name;Acc:A0A8C0MS80],ENSCAFG00845011741
100855931,WAC,WW domain containing adaptor with coiled-coil [Source:UniProtKB Gene Name;Acc:A0A8I3NKA8],ENSCAFG00845011742
482152,GSX2,GS homeobox 2 [Source:UniProtKB Gene Name;Acc:A0A8C0SPR0],ENSCAFG00845011743
,,,ENSCAFG00845011744
,,,ENSCAFG00845011745
475867,BLVRA,biliverdin reductase A [Source:UniProtKB Gene Name;Acc:A0A8I3NLZ5],ENSCAFG00845011746
480733,STRBP,spermatid perinuclear RNA binding protein [Source:UniProtKB Gene Name;Acc:A0A8C0PY31],ENSCAFG00845011747
484014,HIVEP2,HIVEP zinc finger 2 [Source:UniProtKB Gene Name;Acc:A0A8I3NEK1],ENSCAFG00845011748
485223,OR52B4,olfactory receptor family 52 subfamily B member 4 [Source:UniProtKB Gene Name;Acc:A0A8P0N8P2],ENSCAFG00845011749
119864929,OR52B4,olfactory receptor family 52 subfamily B member 4 [Source:UniProtKB Gene Name;Acc:A0A8P0N8P2],ENSCAFG00845011749
479694,CMTM2,CKLF like MARVEL transmembrane domain containing 2 [Source:UniProtKB Gene Name;Acc:A0A8C0N444],ENSCAFG00845011750
479076,NOP14,NOP14 nucleolar protein [Source:UniProtKB Gene Name;Acc:A0A8I3N987],ENSCAFG00845011751
474766,RNF38,ring finger protein 38 [Source:UniProtKB Gene Name;Acc:A0A8C0REE1],ENSCAFG00845011752
491073,DLX3,distal-less homeobox 3 [Source:UniProtKB Gene Name;Acc:A0A8C0LWI6],ENSCAFG00845011753
474894,GLO1,glyoxalase I [Source:UniProtKB Gene Name;Acc:A0A8I3NIZ1],ENSCAFG00845011754
482464,PABPC4,poly(A) binding protein cytoplasmic 4 [Source:UniProtKB Gene Name;Acc:A0A8P0P7K5],ENSCAFG00845011755
485070,LMNB2,lamin B2 [Source:UniProtKB Gene Name;Acc:A0A8I3NJD0],ENSCAFG00845011756
119864597,LMNB2,lamin B2 [Source:UniProtKB Gene Name;Acc:A0A8I3NJD0],ENSCAFG00845011756
,,,ENSCAFG00845011757
485224,,,ENSCAFG00845011758
,,,ENSCAFG00845011759
,,,ENSCAFG00845011760
,,,ENSCAFG00845011761
403473,BAIAP2,BAR/IMD domain containing adaptor protein 2 [Source:UniProtKB Gene Name;Acc:A0A8I3NGY2],ENSCAFG00845011762
611367,CMTM1,CKLF like MARVEL transmembrane domain containing 1 [Source:NCBI gene (formerly Entrezgene);Acc:611367],ENSCAFG00845011763
104794995,MIR8859A,microRNA mir-8859a [Source:NCBI gene (formerly Entrezgene);Acc:104794995],ENSCAFG00845011764
481693,ASTN2,astrotactin 2 [Source:UniProtKB Gene Name;Acc:A0A8I3NB35],ENSCAFG00845011765
119874618,,,ENSCAFG00845011766
474679,ZCCHC10,zinc finger CCHC-type containing 10 [Source:UniProtKB Gene Name;Acc:A0A8I3NVR8],ENSCAFG00845011767
485225,,,ENSCAFG00845011768
,,,ENSCAFG00845011769
611232,SLC9C2,solute carrier family 9 member C2 (putative) [Source:UniProtKB Gene Name;Acc:A0A8C0LVQ0],ENSCAFG00845011770
480068,SLC9C2,solute carrier family 9 member C2 (putative) [Source:UniProtKB Gene Name;Acc:A0A8C0LVQ0],ENSCAFG00845011770
119864285,C8orf82,chromosome 8 open reading frame 82 [Source:HGNC Symbol;Acc:HGNC:33826],ENSCAFG00845011771
119872826,,,ENSCAFG00845011772
,,,ENSCAFG00845011773
104794997,MIR8859B,microRNA mir-8859b [Source:NCBI gene (formerly Entrezgene);Acc:104794997],ENSCAFG00845011774
442860,PDGFRA,platelet derived growth factor receptor alpha [Source:UniProtKB Gene Name;Acc:A0A8I3RWR3],ENSCAFG00845011775
,FAM240A,family with sequence similarity 240 member A [Source:HGNC Symbol;Acc:HGNC:52390],ENSCAFG00845011776
,,,ENSCAFG00845011777
607422,INHBC,inhibin subunit beta C [Source:UniProtKB Gene Name;Acc:A0A8I3N9C1],ENSCAFG00845011778
609664,TCTE1,t-complex-associated-testis-expressed 1 [Source:UniProtKB Gene Name;Acc:A0A8I3NEP2],ENSCAFG00845011779
611237,LBH,LBH regulator of WNT signaling pathway [Source:VGNC Symbol;Acc:VGNC:111546],ENSCAFG00845011780
612839,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2 [Source:UniProtKB Gene Name;Acc:A0A8C0NNL1],ENSCAFG00845011781
,,,ENSCAFG00845011782
485226,TRIM21,tripartite motif containing 21 [Source:UniProtKB Gene Name;Acc:A0A8C0TLD0],ENSCAFG00845011783
491153,MYO1D,myosin ID [Source:UniProtKB Gene Name;Acc:A0A8P0TFW1],ENSCAFG00845011784
475549,ACTR3B,actin related protein 3B [Source:UniProtKB Gene Name;Acc:A0A8I3NJ47],ENSCAFG00845011785
483068,IL36B,interleukin 36 beta [Source:UniProtKB Gene Name;Acc:A0A8C0SJP8],ENSCAFG00845011786
403452,SNAP91,synaptosome associated protein 91 [Source:NCBI gene (formerly Entrezgene);Acc:403452],ENSCAFG00845011787
475454,ABCE1,ATP binding cassette subfamily E member 1 [Source:UniProtKB Gene Name;Acc:A0A8P0N9X4],ENSCAFG00845011788
474603,PPP4R3B,protein phosphatase 4 regulatory subunit 3B [Source:UniProtKB Gene Name;Acc:A0A8I3RYT7],ENSCAFG00845011789
100688339,ANKRD42,ankyrin repeat domain 42 [Source:UniProtKB Gene Name;Acc:A0A8I3N9H4],ENSCAFG00845011790
,,,ENSCAFG00845011791
100533462,ARHGAP8,Rho GTPase activating protein 8 [Source:VGNC Symbol;Acc:VGNC:109320],ENSCAFG00845011792
611343,RIC3,RIC3 acetylcholine receptor chaperone [Source:UniProtKB Gene Name;Acc:A0A8C0N1C1],ENSCAFG00845011793
611371,CKLF,chemokine like factor [Source:NCBI gene (formerly Entrezgene);Acc:611371],ENSCAFG00845011794
609308,DTD2,D-aminoacyl-tRNA deacylase 2 [Source:UniProtKB Gene Name;Acc:A0A8I3RWR4],ENSCAFG00845011795
,,,ENSCAFG00845011796
609209,KLHL35,kelch like family member 35 [Source:UniProtKB Gene Name;Acc:A0A8I3N9F8],ENSCAFG00845011797
475223,CDK14,cyclin dependent kinase 14 [Source:UniProtKB Gene Name;Acc:A0A8C0SUP7],ENSCAFG00845011798
100856447,INHBE,inhibin subunit beta E [Source:UniProtKB Gene Name;Acc:A0A8C0SGB0],ENSCAFG00845011799
474710,TTC39B,tetratricopeptide repeat domain 39B [Source:UniProtKB Gene Name;Acc:A0A8I3RX09],ENSCAFG00845011800
,,,ENSCAFG00845011801
482156,,,ENSCAFG00845011802
,,,ENSCAFG00845011803
100688257,GPR33,G protein-coupled receptor 33 [Source:UniProtKB Gene Name;Acc:A0A8C0YXT4],ENSCAFG00845011804
,,,ENSCAFG00845011805
100683753,LRRIQ1,leucine rich repeats and IQ motif containing 1 [Source:UniProtKB Gene Name;Acc:A0A8I3RZ17],ENSCAFG00845011806
482037,MTSS1,MTSS I-BAR domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A8C0SQY5],ENSCAFG00845011807
102154676,CDKN1C,cyclin dependent kinase inhibitor 1C [Source:UniProtKB Gene Name;Acc:A0A8C0Q6C2],ENSCAFG00845011808
,U2,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],ENSCAFG00845011809
479678,NFATC3,nuclear factor of activated T cells 3 [Source:UniProtKB Gene Name;Acc:A0A8I3NJA8],ENSCAFG00845011810
485227,OR51R1,,ENSCAFG00845011811
482103,ARHGAP39,Rho GTPase activating protein 39 [Source:UniProtKB Gene Name;Acc:A0A8I3NJ79],ENSCAFG00845011812
612572,C15H4orf46,,ENSCAFG00845011813
,,,ENSCAFG00845011814
,,,ENSCAFG00845011815
483795,DAGLA,diacylglycerol lipase alpha [Source:UniProtKB Gene Name;Acc:A0A8C0RYM9],ENSCAFG00845011816
491183,SSH2,slingshot protein phosphatase 2 [Source:UniProtKB Gene Name;Acc:A0A8C0PPV4],ENSCAFG00845011817
476733,RFX2,regulatory factor X2 [Source:UniProtKB Gene Name;Acc:A0A8I3NW20],ENSCAFG00845011818
,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845011819
474920,AARS2,"alanyl-tRNA synthetase 2, mitochondrial [Source:UniProtKB Gene Name;Acc:A0A8C0SB15]",ENSCAFG00845011820
479845,SNX29,sorting nexin 29 [Source:UniProtKB Gene Name;Acc:A0A8C0RIY6],ENSCAFG00845011821
484163,TRPM6,transient receptor potential cation channel subfamily M member 6 [Source:UniProtKB Gene Name;Acc:A0A8I3NMH9],ENSCAFG00845011822
491074,ITGA3,integrin subunit alpha 3 [Source:UniProtKB Gene Name;Acc:A0A8I3NFG9],ENSCAFG00845011823
611398,RPL27A,ribosomal protein L27a [Source:NCBI gene (formerly Entrezgene);Acc:611398],ENSCAFG00845011824
119877482,RPL27A,ribosomal protein L27a [Source:NCBI gene (formerly Entrezgene);Acc:611398],ENSCAFG00845011824
490424,RUSC1,RUN and SH3 domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A8C0RUX6],ENSCAFG00845011825
611677,AIG1,androgen induced 1 [Source:UniProtKB Gene Name;Acc:A0A8C0Q9V6],ENSCAFG00845011826
608597,COA1,cytochrome c oxidase assembly factor 1 [Source:UniProtKB Gene Name;Acc:A0A8I3NJZ3],ENSCAFG00845011827
481715,LY6G6F,lymphocyte antigen 6 family member G6F [Source:VGNC Symbol;Acc:VGNC:110586],ENSCAFG00845011828
611869,IL36RN,interleukin 36 receptor antagonist [Source:UniProtKB Gene Name;Acc:A0A8C0MF09],ENSCAFG00845011829
,,,ENSCAFG00845011830
,,,ENSCAFG00845011831
482715,PDIA4,protein disulfide isomerase family A member 4 [Source:UniProtKB Gene Name;Acc:A0A8I3RYV6],ENSCAFG00845011832
483023,LCLAT1,lysocardiolipin acyltransferase 1 [Source:UniProtKB Gene Name;Acc:A0A8C0S979],ENSCAFG00845011833
,,,ENSCAFG00845011834
119881515,,,ENSCAFG00845011835
481126,GLI1,GLI family zinc finger 1 [Source:UniProtKB Gene Name;Acc:A0A8C0MKR6],ENSCAFG00845011836
475480,ETFDH,electron transfer flavoprotein dehydrogenase [Source:NCBI gene (formerly Entrezgene);Acc:475480],ENSCAFG00845011837
485228,OR52P2,olfactory receptor family 52 subfamily P member 2 [Source:NCBI gene (formerly Entrezgene);Acc:485228],ENSCAFG00845011838
476647,LRRC2,leucine rich repeat containing 2 [Source:UniProtKB Gene Name;Acc:A0A8C0PI48],ENSCAFG00845011839
474944,BMP5,bone morphotic protein 5 [Source:UniProtKB Gene Name;Acc:A0A8C0NEM6],ENSCAFG00845011840
607751,HAP1,huntingtin associated protein 1 [Source:UniProtKB Gene Name;Acc:A0A8I3NAQ5],ENSCAFG00845011841
,,,ENSCAFG00845011842
487237,SLC30A5,solute carrier family 30 member 5 [Source:UniProtKB Gene Name;Acc:A0A8C0M317],ENSCAFG00845011843
476804,RPS3,ribosomal protein S3 [Source:NCBI gene (formerly Entrezgene);Acc:476804],ENSCAFG00845011844
104794955,MIR8805,microRNA mir-8805 [Source:NCBI gene (formerly Entrezgene);Acc:104794955],ENSCAFG00845011845
119869431,,,ENSCAFG00845011846
,,,ENSCAFG00845011847
,,,ENSCAFG00845011848
479182,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase [Source:UniProtKB Gene Name;Acc:A0A8C0Q089],ENSCAFG00845011849
488795,MFSD10,major facilitator superfamily domain containing 10 [Source:UniProtKB Gene Name;Acc:A0A8I3NK45],ENSCAFG00845011850
474680,HSPA4,heat shock protein family A (Hsp70) member 4 [Source:VGNC Symbol;Acc:VGNC:51724],ENSCAFG00845011851
610605,LRFN4,leucine rich repeat and fibronectin type III domain containing 4 [Source:UniProtKB Gene Name;Acc:A0A8I3NEU9],ENSCAFG00845011852
